Fairness Metrics,GB Starting value,GB Unawareness,Disparate Impact,Reweighting,Equalised Odds,Reject Option Classification
accuracy_overall,0.6945777777777777,0.6837944444444445,0.6931055555555555,0.6837944444444445,0.6950222222222222,0.6837944444444445
f1_score_overall,0.46221117915207477,0.4560736231496258,0.4564017279892935,0.4560736231496258,0.39247454625940686,0.4560736231496258
f1_score_White,0.4267661803097522,0.42384029206386,0.42355105249885033,0.42384029206386,0.41641532618409294,0.42384029206386
accuracy_White,0.7253564357955156,0.6948234319127058,0.7018140241562946,0.6948234319127058,0.6792921929434154,0.6948234319127058
false_negative_rate_White,0.43910242916684206,0.38416200058939926,0.39898118132446425,0.38416200058939926,0.3722477160779691,0.38416200058939926
false_omission_rate_White,0.11382238033917541,0.1072961373390558,0.10935841218555273,0.1072961373390558,0.10723424898429447,0.1072961373390558
true_positive_rate_White,0.5608975708331579,0.6158379994106008,0.6010188186755357,0.6158379994106008,0.6277522839220309,0.6158379994106008
positive_predictive_value_White,0.34440595595078066,0.3231064873103174,0.3269961977186312,0.3231064873103174,0.3115350061634248,0.3231064873103174
false_positive_rate_White,0.23798620560221462,0.2875709660770422,0.2757190447144935,0.2875709660770422,0.3092197250504387,0.2875709660770422
false_discovery_rate_White,0.6555940440492193,0.6768935126896826,0.6730038022813688,0.6768935126896826,0.6884649938365752,0.6768935126896826
average_odds_White,0.3994418882176863,0.45170448274382147,0.4383689316950146,0.45170448274382147,0.4684860044862348,0.45170448274382147
prevelence_rate_White,0.1822695253149987,0.1822695253149987,0.1822695253149987,0.1822695253149987,0.1822695253149987,0.1822695253149987
f1_score_Black,0.5714071069040644,0.5848218504867216,0.5860138533067654,0.5848218504867216,0.5599444223898372,0.5848218504867216
accuracy_Black,0.5715358618099887,0.6700713481036426,0.6723244461134059,0.6700713481036426,0.6669921141569658,0.6700713481036426
false_negative_rate_Black,0.1584421332153131,0.3153352511617615,0.31666297853507414,0.3153352511617615,0.37574684664748836,0.3153352511617615
false_omission_rate_Black,0.15830201193897855,0.19647042603060802,0.19616175462645646,0.19647042603060802,0.2188708430007734,0.19647042603060802
true_positive_rate_Black,0.8415578667846869,0.6846647488382386,0.6833370214649259,0.6846647488382386,0.6242531533525116,0.6846647488382386
positive_predictive_value_Black,0.4325523202911738,0.5103926096997691,0.5129568106312292,0.5103926096997691,0.5076480115170056,0.5103926096997691
false_positive_rate_Black,0.5671896316507503,0.33742610277398816,0.3333333333333333,0.33742610277398816,0.31105047748976805,0.33742610277398816
false_discovery_rate_Black,0.5674476797088263,0.4896073903002309,0.4870431893687708,0.4896073903002309,0.49235198848299444,0.4896073903002309
average_odds_Black,0.7043737492177187,0.5110454258061133,0.5083351773991296,0.5110454258061133,0.46765181542113987,0.5110454258061133
prevelence_rate_Black,0.3393916635373639,0.3393916635373639,0.3393916635373639,0.3393916635373639,0.3393916635373639,0.3393916635373639
