,Fairness Metrics,Discriminative model,Fair model,Pre-processing,,Post-processing,
,,Initial model,Blind model,Disparate Impact,Reweighting,Equalised Odds,Reject Option Classification
,Accuracy overall,0.650,0.653,0.649,0.658,0.654,0.653
,f1-score overall,0.447,0.444,0.444,0.445,0.380,0.444
Favoured group,f1-score,0.412,0.411,0.410,0.412,0.397,0.411
,Accuracy,0.673,0.662,0.651,0.667,0.626,0.662
,False negative rate,0.370,0.352,0.334,0.359,0.325,0.352
,False omission rate,0.108,0.105,0.103,0.106,0.105,0.105
,True positive rate,0.630,0.648,0.666,0.641,0.675,0.648
,Positive predictive value,0.306,0.301,0.297,0.304,0.281,0.301
,False positive rate,0.318,0.335,0.352,0.327,0.384,0.335
,False discovery rate,0.694,0.699,0.703,0.696,0.719,0.699
,Average odds,0.474,0.492,0.509,0.484,0.530,0.492
,Prevelence rate,0.182,0.182,0.182,0.182,0.182,0.182
Deprived group,f1-score,0.557,0.574,0.575,0.576,0.555,0.574
,Accuracy,0.524,0.634,0.625,0.640,0.634,0.634
,False negative rate,0.118,0.272,0.252,0.280,0.327,0.272
,False omission rate,0.152,0.193,0.187,0.194,0.215,0.193
,True positive rate,0.882,0.728,0.748,0.720,0.673,0.728
,Positive predictive value,0.407,0.474,0.467,0.479,0.473,0.474
,False positive rate,0.660,0.415,0.439,0.402,0.386,0.415
,False discovery rate,0.593,0.526,0.533,0.521,0.527,0.526
,Average odds,0.771,0.571,0.593,0.561,0.529,0.571
,Prevelence rate,0.339,0.339,0.339,0.339,0.339,0.339
